dias;Appliances;lights;T1;RH_1;T2;RH_2;T3;RH_3;T4;RH_4;T5;RH_5;T6;RH_6;T7;RH_7;T8;RH_8;T9;RH_9;T_out;Press_mm_hg;RH_out;Windspeed;Visibility;Tdewpoint;rv1;rv2
Terca;110;40;21,03;47,06;20,29;45,22;20,26;46,83;19,32;49,17;17,60;79,26;5,56;86,56;17,63;43,63;18,89;50,16;16,89;45,06;6,00;735,33;87,33;6,00;40,00;3,97;32,58;32,58
Terca;110;40;21,10;46,60;20,36;44,96;20,29;46,63;19,39;48,43;17,57;78,39;5,62;86,33;17,76;43,63;18,96;50,03;16,89;45,00;6,00;735,37;87,17;6,00;40,00;3,93;6,28;6,28
Terca;110;30;21,13;46,06;20,43;44,76;20,29;46,43;19,39;48,19;17,76;82,46;5,76;86,06;17,86;43,46;19,00;49,76;16,89;44,97;6,00;735,40;87,00;6,00;40,00;3,90;13,36;13,36
Terca;110;20;21,20;45,80;20,50;44,76;20,39;46,22;19,39;47,80;18,36;82,59;5,66;85,59;17,79;43,40;19,07;49,70;16,89;44,90;5,93;735,47;87,17;6,00;40,00;3,87;19,31;19,31
Terca;100;30;21,29;45,90;20,53;45,09;20,39;46,09;19,39;47,56;18,36;70,99;5,53;85,73;17,89;43,79;19,13;49,63;16,89;44,79;5,87;735,53;87,33;6,00;40,00;3,83;0,67;0,67
Terca;100;20;21,36;45,83;20,67;45,16;20,39;46,09;19,39;47,50;18,60;62,43;5,43;86,33;17,89;43,79;19,20;49,43;16,89;44,79;5,80;735,60;87,50;6,00;40,00;3,80;19,12;19,12
Terca;100;20;21,39;45,69;20,70;45,06;20,39;46,09;19,43;47,99;18,67;59,03;5,50;86,60;17,89;43,70;19,23;49,40;16,89;44,70;5,73;735,67;87,67;6,00;40,00;3,77;43,48;43,48
Terca;100;20;21,50;45,33;20,70;44,93;20,39;46,06;19,57;48,47;18,82;56,73;5,59;86,47;17,86;43,57;19,29;49,33;16,89;44,70;5,67;735,73;87,83;6,00;40,00;3,73;17,02;17,02
Terca;110;20;21,50;45,13;20,79;44,63;20,39;46,00;19,67;48,09;18,96;55,33;5,59;86,33;17,79;43,40;19,29;49,16;16,82;44,59;5,60;735,80;88,00;6,00;40,00;3,70;24,10;24,10
Terca;400;20;21,53;44,97;20,79;44,36;20,43;45,93;19,60;47,50;19,03;54,09;5,66;86,23;17,79;43,22;19,36;49,03;16,82;44,53;5,65;735,88;87,83;6,17;40,00;3,72;29,98;29,98
Terca;400;20;21,60;44,77;20,89;44,22;20,50;45,93;19,70;47,63;19,10;53,37;5,83;85,77;17,79;43,03;19,39;48,86;16,89;44,59;5,70;735,97;87,67;6,33;40,00;3,73;24,68;24,68
Terca;390;30;21,60;44,56;20,96;43,96;20,50;45,79;20,10;47,57;19,16;52,47;5,90;85,03;17,79;42,76;19,39;48,86;16,89;44,52;5,75;736,05;87,50;6,50;40,00;3,75;9,31;9,31
Terca;240;20;21,60;44,36;21,00;43,83;20,50;45,73;20,60;47,22;19,20;51,99;6,00;84,13;17,79;42,63;19,34;48,95;16,82;44,43;5,80;736,13;87,33;6,67;40,00;3,77;41,37;41,37
Terca;60;20;21,60;44,20;21,00;43,70;20,50;45,59;21,00;47,03;19,22;51,52;6,00;84,06;17,70;42,63;19,29;49,23;16,89;44,50;5,85;736,22;87,17;6,83;40,00;3,78;33,42;33,42
Terca;60;20;21,60;44,20;21,00;43,59;20,42;45,55;21,17;46,53;19,29;51,23;5,97;84,79;17,70;42,76;19,36;49,43;16,89;44,50;5,90;736,30;87,00;7,00;40,00;3,80;39,71;39,71
Terca;60;20;21,60;44,20;21,00;43,59;20,39;45,66;21,03;46,40;19,29;51,06;5,90;85,60;17,70;43,03;19,39;49,89;16,89;45,07;5,80;736,40;87,83;6,83;37,00;3,85;5,40;5,40
Terca;50;10;21,60;44,20;21,00;43,70;20,29;45,73;20,96;46,43;19,29;50,93;5,76;86,26;17,70;43,16;19,39;50,16;16,89;45,26;5,70;736,50;88,67;6,67;34,00;3,90;36,19;36,19
Terca;70;20;21,50;44,23;20,93;43,76;20,29;45,79;20,86;46,57;19,29;50,86;5,62;86,59;17,70;43,40;19,39;50,46;16,89;45,43;5,60;736,60;89,50;6,50;31,00;3,95;20,56;20,56
Terca;60;20;21,50;44,36;20,89;43,84;20,29;45,79;20,73;46,59;19,29;50,79;5,59;87,50;17,70;43,47;19,39;50,72;16,89;45,56;5,50;736,70;90,33;6,33;28,00;4,00;41,05;41,05
Terca;40;20;21,39;44,43;20,79;43,79;20,23;45,66;20,70;46,79;19,20;50,66;5,59;87,90;17,70;43,63;19,39;50,96;16,89;45,63;5,40;736,80;91,17;6,17;25,00;4,05;32,35;32,35
Quarta;40;10;21,39;44,56;20,79;43,86;20,20;45,66;20,63;46,79;19,20;50,53;5,59;88,63;17,70;43,76;19,39;51,16;16,89;45,70;5,30;736,90;92,00;6,00;22,00;4,10;39,15;39,15
Quarta;30;20;21,29;44,83;20,70;44,00;20,20;45,59;20,57;46,93;19,20;50,50;5,53;89,03;17,70;43,93;19,46;51,50;16,89;45,79;5,27;737,00;92,00;6,00;25,00;4,07;27,65;27,65
Quarta;40;20;21,29;44,97;20,63;44,00;20,17;45,50;20,50;47,13;19,20;50,43;5,53;89,40;17,76;44,33;19,39;51,56;16,89;45,86;5,23;737,10;92,00;6,00;28,00;4,03;26,49;26,49
Quarta;50;20;21,26;45,09;20,60;44,03;20,10;45,50;20,50;47,23;19,17;50,36;5,53;89,19;17,79;44,96;19,39;51,86;16,89;45,90;5,20;737,20;92,00;6,00;31,00;4,00;39,47;39,47
Quarta;310;10;21,20;45,09;20,60;44,09;20,10;45,50;20,43;47,23;19,10;50,29;5,40;89,40;17,79;45,22;19,39;52,00;16,89;45,97;5,17;737,30;92,00;6,00;34,00;3,97;1,17;1,17
Quarta;380;20;21,17;45,23;20,50;44,13;20,10;45,50;20,46;47,36;19,07;50,26;5,20;88,99;17,79;45,33;19,36;52,09;16,89;46,03;5,13;737,40;92,00;6,00;37,00;3,93;23,86;23,86
Quarta;380;20;21,07;45,37;20,50;44,20;20,10;45,53;20,79;47,56;19,00;50,13;4,87;89,06;17,79;45,42;19,29;52,16;16,89;46,09;5,10;737,50;92,00;6,00;40,00;3,90;36,62;36,62
Quarta;370;20;21,00;45,40;20,39;44,20;20,10;45,59;21,26;47,47;19,00;50,09;4,93;91,16;17,79;45,56;19,29;52,50;16,89;46,20;5,12;737,63;92,00;5,83;40,00;3,92;34,64;34,64
Quarta;120;10;21,00;45,59;20,39;44,26;20,10;45,59;21,60;47,40;19,00;50,03;5,00;91,43;17,79;45,73;19,23;52,90;16,89;46,20;5,13;737,77;92,00;5,67;40,00;3,93;23,88;23,88
Quarta;50;0;20,93;45,59;20,29;44,29;20,17;45,53;21,89;46,97;19,00;50,03;4,87;91,26;17,79;45,86;19,29;53,50;16,89;46,29;5,15;737,90;92,00;5,50;40,00;3,95;43,06;43,06
Quarta;40;0;20,89;45,67;20,23;44,29;20,13;45,50;21,82;46,23;18,93;50,09;4,73;91,59;17,79;45,83;19,29;53,96;16,89;46,43;5,17;738,03;92,00;5,33;40,00;3,97;21,90;21,90
Quarta;50;0;20,89;46,06;20,20;44,40;20,20;45,50;21,67;46,06;18,89;50,09;4,47;91,76;17,79;45,97;19,29;54,46;16,89;46,63;5,18;738,17;92,00;5,17;40,00;3,98;12,24;12,24
Quarta;40;0;20,79;46,20;20,20;44,47;20,17;45,50;21,53;45,93;18,89;50,17;4,33;91,76;17,79;46,00;19,22;54,72;16,89;46,83;5,20;738,30;92,00;5,00;40,00;4,00;3,53;3,53
Quarta;50;0;20,79;46,20;20,10;44,53;20,13;45,42;21,36;45,90;18,89;50,20;4,16;91,83;17,79;46,00;19,20;54,97;16,96;46,97;5,13;738,40;92,00;4,83;40,00;3,93;4,97;4,97
Quarta;50;0;20,70;46,26;20,10;44,59;20,13;45,40;21,23;45,90;18,79;50,09;4,16;92,57;17,89;46,00;19,20;54,97;17,00;47,23;5,07;738,50;92,00;4,67;40,00;3,87;15,81;15,81
Quarta;50;0;20,70;46,20;20,00;44,43;20,20;45,50;21,07;45,90;18,79;50,09;4,33;93,53;17,89;46,06;19,20;54,90;17,00;47,36;5,00;738,60;92,00;4,50;40,00;3,80;25,93;25,93
Quarta;40;0;20,60;46,20;20,00;44,50;20,20;45,50;20,93;45,90;18,79;50,09;4,33;93,32;17,89;46,09;19,20;54,86;17,00;47,53;4,93;738,70;92,00;4,33;40,00;3,73;33,10;33,10
Quarta;40;0;20,60;46,13;20,00;44,50;20,20;45,40;20,75;45,90;18,73;50,09;4,19;93,13;17,82;45,96;19,13;54,79;17,00;47,66;4,87;738,80;92,00;4,17;40,00;3,67;20,34;20,34
Quarta;30;0;20,57;46,07;19,89;44,59;20,20;45,40;20,67;46,00;18,70;50,09;4,06;92,87;17,86;45,97;19,20;54,90;17,00;47,83;4,80;738,90;92,00;4,00;40,00;3,60;45,64;45,64
Quarta;20;0;20,50;46,20;19,82;44,53;20,29;45,47;20,53;46,00;18,70;50,09;3,86;92,97;17,86;45,97;19,20;54,97;17,00;47,90;4,82;739,02;92,17;4,33;40,00;3,63;14,68;14,68
Quarta;20;0;20,50;46,29;19,79;44,53;20,29;45,40;20,39;46,03;18,70;50,09;3,79;93,09;17,89;46,20;19,20;55,09;17,00;48,03;4,83;739,13;92,33;4,67;40,00;3,67;22,95;22,95
Quarta;40;0;20,43;46,23;19,79;44,53;20,20;45,40;20,39;46,16;18,63;50,03;3,90;94,05;17,89;46,20;19,20;55,03;17,00;48,09;4,85;739,25;92,50;5,00;40,00;3,70;16,62;16,62
Quarta;50;0;20,39;46,29;19,76;44,59;20,20;45,40;20,29;46,20;18,60;50,00;4,19;94,66;17,89;46,20;19,20;54,86;17,07;48,29;4,87;739,37;92,67;5,33;40,00;3,73;32,54;32,54
Quarta;50;0;20,39;46,36;19,70;44,59;20,20;45,50;20,23;46,26;18,60;50,00;4,26;94,80;17,89;46,13;19,20;54,73;17,07;48,36;4,88;739,48;92,83;5,67;40,00;3,77;12,90;12,90
Quarta;40;0;20,29;46,50;19,70;44,70;20,26;45,50;20,10;46,29;18,60;50,00;4,46;95,03;17,89;46,09;19,10;54,56;17,03;48,46;4,90;739,60;93,00;6,00;40,00;3,80;23,93;23,93
Quarta;50;0;20,29;46,55;19,63;44,63;20,29;45,50;20,03;46,29;18,53;50,00;4,59;95,03;17,89;45,92;19,10;54,50;17,03;48,59;4,92;739,65;92,67;5,83;40,00;3,77;38,32;38,32
Quarta;40;0;20,23;46,50;19,60;44,59;20,29;45,50;20,00;46,40;18,50;50,00;4,73;94,87;17,89;45,73;19,10;54,50;17,03;48,77;4,93;739,70;92,33;5,67;40,00;3,73;4,21;4,21
Quarta;40;0;20,20;46,43;19,60;44,59;20,29;45,50;19,93;46,47;18,50;50,00;4,80;94,73;17,89;45,70;19,10;54,50;17,03;48,90;4,95;739,75;92,00;5,50;40,00;3,70;43,77;43,77
Quarta;40;0;20,20;46,56;19,57;44,70;20,29;45,56;19,86;46,47;18,50;50,00;4,80;94,49;17,89;45,70;19,10;54,40;17,10;49,05;4,97;739,80;91,67;5,33;40,00;3,67;16,95;16,95
Quarta;60;0;20,17;46,36;19,50;44,70;20,29;45,59;19,79;46,47;18,50;50,00;4,80;94,23;17,89;45,59;19,10;54,40;17,10;49,20;4,98;739,85;91,33;5,17;40,00;3,63;41,97;41,97
Quarta;50;0;20,10;46,36;19,50;44,79;20,29;45,59;19,76;46,59;18,50;50,00;4,80;94,13;17,89;45,66;19,10;54,29;17,10;49,26;5,00;739,90;91,00;5,00;40,00;3,60;17,33;17,33
Quarta;50;0;20,10;46,50;19,43;44,73;20,29;45,59;19,70;46,66;18,47;49,98;4,80;94,00;17,89;45,59;19,10;54,23;17,10;49,29;4,98;739,97;91,67;4,83;40,00;3,68;16,69;16,69
Quarta;40;0;20,03;46,36;19,39;44,73;20,29;45,59;19,67;46,66;18,39;49,90;4,76;93,56;17,89;45,59;19,05;54,05;17,10;49,36;4,97;740,03;92,33;4,67;40,00;3,77;23,82;23,82
Quarta;40;0;20,00;46,29;19,39;44,79;20,36;45,59;19,60;46,59;18,39;49,90;4,76;94,02;17,89;45,63;19,00;54,00;17,10;49,43;4,95;740,10;93,00;4,50;40,00;3,85;44,61;44,61
Quarta;40;0;20,00;46,29;19,39;44,79;20,39;45,59;19,60;46,63;18,39;49,90;4,83;94,73;17,89;45,63;19,07;54,00;17,10;49,56;4,93;740,17;93,67;4,33;40,00;3,93;43,22;43,22
Quarta;40;0;20,00;46,23;19,39;44,79;20,32;45,59;19,60;46,70;18,39;49,90;4,83;95,00;17,89;45,59;19,10;53,90;17,10;49,63;4,92;740,23;94,33;4,17;40,00;4,02;19,50;19,50
Quarta;50;0;19,93;46,23;19,29;44,90;20,32;45,59;19,50;46,70;18,39;49,90;4,90;95,53;17,89;45,72;19,03;53,83;17,10;49,70;4,90;740,30;95,00;4,00;40,00;4,10;38,87;38,87
Quarta;70;10;19,89;46,23;19,29;44,92;20,32;45,59;19,50;46,70;18,36;49,93;5,00;95,82;17,89;45,90;19,00;53,79;17,10;49,83;4,93;740,43;94,67;4,17;38,17;4,10;48,03;48,03
Quarta;40;0;19,89;46,43;19,29;45,00;20,29;45,59;19,43;46,70;18,29;50,00;5,09;96,03;17,89;45,97;19,00;53,79;17,10;49,97;4,97;740,57;94,33;4,33;36,33;4,10;21,73;21,73
Quarta;30;0;19,89;46,63;19,29;45,13;20,29;45,59;19,39;46,70;18,29;50,13;5,00;95,90;17,89;45,90;19,00;53,76;17,13;50,00;5,00;740,70;94,00;4,50;34,50;4,10;35,63;35,63
Quarta;20;10;19,89;46,70;19,22;45,20;20,29;45,50;19,39;46,70;18,29;50,20;5,00;95,97;17,89;45,83;19,00;53,70;17,20;50,00;5,03;740,83;93,67;4,67;32,67;4,10;20,00;20,00
Quarta;30;0;19,89;46,86;19,20;45,24;20,29;45,43;19,29;46,79;18,29;50,23;4,97;95,93;17,89;45,72;19,00;53,88;17,20;50,00;5,07;740,97;93,33;4,83;30,83;4,10;16,27;16,27
Quarta;40;10;19,82;46,86;19,20;45,36;20,20;45,29;19,29;46,79;18,29;50,29;4,90;95,93;17,89;45,79;19,00;54,00;17,20;50,00;5,10;741,10;93,00;5,00;29,00;4,10;37,85;37,85
Quarta;50;10;19,86;46,93;19,20;45,40;20,20;45,29;19,29;46,79;18,29;50,43;4,93;96,09;17,89;45,86;19,00;54,06;17,20;50,09;5,10;741,22;92,67;5,00;30,83;4,05;10,13;10,13
Quarta;60;20;19,79;46,79;19,20;45,33;20,17;45,29;19,29;46,60;18,23;50,83;4,93;96,09;17,89;45,52;18,93;53,80;17,20;49,96;5,10;741,33;92,33;5,00;32,67;4,00;35,56;35,56
Quarta;60;20;19,79;46,90;19,18;45,20;20,10;45,29;19,26;46,30;18,20;51,27;5,00;96,09;17,89;45,14;18,97;53,15;17,20;49,72;5,10;741,45;92,00;5,00;34,50;3,95;6,08;6,08
Quarta;70;20;19,79;47,43;19,10;45,03;20,10;45,29;19,20;46,09;18,20;51,53;5,00;96,09;17,86;44,83;18,89;52,80;17,20;49,46;5,10;741,57;91,67;5,00;36,33;3,90;12,27;12,27
Quarta;60;30;19,79;48,37;19,10;45,00;20,10;45,29;19,17;45,97;18,10;51,83;5,00;96,09;17,79;44,57;18,86;52,36;17,15;48,99;5,10;741,68;91,33;5,00;38,17;3,85;7,17;7,17
Quarta;140;20;19,79;48,67;19,10;45,00;20,20;45,29;19,17;45,90;18,10;51,97;5,06;96,16;17,79;44,33;18,79;51,96;17,10;48,63;5,10;741,80;91,00;5,00;40,00;3,80;11,98;11,98
Quarta;110;30;19,79;48,53;19,07;45,06;20,13;45,29;19,20;45,76;18,10;52,13;5,09;96,03;17,86;44,66;18,79;51,63;17,10;48,36;5,05;741,88;91,00;5,00;40,00;3,73;2,95;2,95
Quarta;90;10;19,89;50,00;19,02;45,04;20,15;45,24;19,20;45,63;18,03;52,20;5,09;95,76;18,00;45,06;18,79;51,40;17,10;48,03;5,00;741,97;91,00;5,00;40,00;3,67;32,11;32,11
Quarta;60;0;19,89;48,73;19,10;45,20;20,10;45,20;19,10;45,53;18,05;52,40;5,00;95,46;18,00;44,46;18,70;51,05;17,10;47,77;4,95;742,05;91,00;5,00;40,00;3,60;43,81;43,81
Quarta;60;0;19,89;48,03;19,03;45,13;20,10;45,20;19,10;45,40;18,00;52,50;4,79;94,79;17,89;43,96;18,70;50,76;17,10;47,47;4,90;742,13;91,00;5,00;40,00;3,53;38,95;38,95
Quarta;60;0;19,89;47,63;19,00;45,09;20,10;45,20;19,10;45,36;18,00;52,56;4,47;94,19;17,89;43,57;18,70;50,65;17,03;47,27;4,85;742,22;91,00;5,00;40,00;3,47;39,87;39,87
Quarta;50;0;19,86;47,06;19,00;45,03;20,10;45,20;19,10;45,23;18,00;52,79;4,30;94,45;17,86;43,10;18,70;50,42;17,00;46,93;4,80;742,30;91,00;5,00;40,00;3,40;22,76;22,76
Quarta;60;0;19,79;46,66;19,00;44,97;20,10;45,16;19,10;45,09;17,93;52,79;4,06;94,19;17,79;42,77;18,63;50,16;17,07;46,79;4,88;742,38;91,00;5,00;38,17;3,48;20,50;20,50
Quarta;50;0;19,79;46,33;19,00;44,83;20,10;45,09;19,10;44,97;17,89;52,76;4,03;94,67;17,79;42,43;18,67;50,03;17,03;46,59;4,97;742,47;91,00;5,00;36,33;3,57;40,54;40,54
Quarta;30;0;19,79;46,07;19,00;44,65;20,10;45,16;19,03;44,77;17,89;52,03;4,09;95,00;17,79;42,23;18,60;49,83;17,03;46,39;5,05;742,55;91,00;5,00;34,50;3,65;30,25;30,25
Quarta;40;0;19,76;45,86;18,96;44,56;20,03;44,96;19,00;44,66;18,00;50,90;4,12;95,40;17,70;41,97;18,60;49,66;17,00;46,16;5,13;742,63;91,00;5,00;32,67;3,73;32,74;32,74
Quarta;30;0;19,70;45,79;18,96;44,43;20,00;44,90;19,07;44,59;18,00;50,43;4,26;95,80;17,70;41,83;18,60;49,59;17,00;46,03;5,22;742,72;91,00;5,00;30,83;3,82;17,66;17,66
Quarta;260;0;19,70;45,66;18,89;44,29;20,00;44,90;19,10;44,69;18,00;49,93;4,46;96,26;17,70;41,66;18,60;49,47;17,00;45,86;5,30;742,80;91,00;5,00;29,00;3,90;13,51;13,51
Quarta;500;0;19,70;45,59;18,89;44,23;19,89;44,90;19,17;45,03;18,00;49,66;4,73;96,47;17,70;41,59;18,53;49,40;17,00;45,73;5,48;742,88;90,17;5,00;30,83;3,95;49,63;49,63
Quarta;450;0;19,73;47,79;18,93;44,23;19,89;44,90;19,36;45,36;18,00;49,50;5,03;96,56;17,70;41,50;18,50;49,26;17,00;45,66;5,67;742,97;89,33;5,00;32,67;4,00;31,67;31,67
Quarta;50;10;19,79;48,79;19,00;44,36;19,89;44,86;19,69;45,56;18,00;49,56;5,16;96,50;17,70;41,40;18,50;49,20;17,00;45,46;5,85;743,05;88,50;5,00;34,50;4,05;10,66;10,66
Quarta;60;0;19,89;47,94;19,03;44,57;19,96;44,86;20,00;45,13;18,03;49,63;5,33;96,56;17,70;41,33;18,50;49,09;17,03;45,29;6,03;743,13;87,67;5,00;36,33;4,10;6,47;6,47
Quarta;60;0;19,89;47,16;19,03;44,57;19,93;44,79;20,07;44,86;18,10;49,57;5,40;96,29;17,70;41,26;18,50;49,09;17,03;45,23;6,22;743,22;86,83;5,00;38,17;4,15;23,91;23,91
Quarta;50;0;19,89;46,77;19,03;44,50;20,00;44,79;20,13;44,70;18,03;49,33;5,53;96,19;17,70;41,20;18,50;49,00;17,05;45,24;6,40;743,30;86,00;5,00;40,00;4,20;46,20;46,20
Quarta;50;0;20,00;46,30;19,10;44,50;20,00;44,79;20,20;44,63;18,10;49,33;5,80;96,19;17,73;41,03;18,50;48,93;17,10;45,29;6,50;743,33;85,17;5,33;38,00;4,17;29,94;29,94
Quarta;50;0;20,00;45,96;19,10;44,47;19,93;44,79;20,20;44,59;18,10;49,26;5,83;95,02;17,79;40,90;18,43;48,59;17,10;45,23;6,60;743,37;84,33;5,67;36,00;4,13;48,81;48,81
Quarta;60;0;20,00;46,22;19,10;44,40;19,95;44,79;20,13;44,46;18,10;49,13;5,97;94,56;17,79;40,70;18,50;48,46;17,10;45,20;6,70;743,40;83,50;6,00;34,00;4,10;36,59;36,59
Quarta;60;0;20,00;45,96;19,10;44,29;19,89;44,76;20,10;44,16;18,10;49,09;6,25;93,75;17,86;40,63;18,50;48,19;17,10;45,13;6,80;743,43;82,67;6,33;32,00;4,07;17,84;17,84
Quarta;60;0;20,00;45,72;19,15;44,24;19,89;44,70;20,10;44,03;18,10;49,00;6,43;91,23;17,82;40,47;18,50;47,97;17,10;45,20;6,90;743,47;81,83;6,67;30,00;4,03;21,57;21,57
Quarta;60;0;20,00;45,66;19,20;44,20;19,96;44,70;20,03;43,90;18,10;48,93;6,50;88,90;17,89;40,33;18,57;47,83;17,10;45,20;7,00;743,50;81,00;7,00;28,00;4,00;7,41;7,41
Quarta;190;0;20,03;45,50;19,20;44,13;19,96;44,70;20,03;43,69;18,07;49,00;6,59;85,46;17,92;40,24;18,57;47,59;17,10;45,06;7,08;743,50;80,67;7,00;30,00;4,02;0,65;0,65
Quarta;220;0;20,10;45,69;19,20;43,90;20,00;44,79;20,00;43,84;18,00;49,40;6,66;84,40;17,93;40,03;18,55;47,55;17,10;45,00;7,17;743,50;80,33;7,00;32,00;4,03;35,78;35,78
Quarta;170;0;20,10;45,40;19,20;43,90;20,00;44,79;20,00;43,83;17,96;49,89;6,93;83,10;17,97;39,88;18,60;47,35;17,10;44,86;7,25;743,50;80,00;7,00;34,00;4,05;5,16;5,16
Quarta;390;0;20,10;45,33;19,20;43,86;19,96;44,79;20,00;43,97;17,89;50,22;7,13;82,89;18,00;39,70;18,60;47,20;17,10;44,79;7,33;743,50;79,67;7,00;36,00;4,07;22,31;22,31
Quarta;90;0;20,10;45,33;19,20;43,70;19,89;44,79;19,89;44,09;17,89;50,40;7,43;82,33;18,00;39,66;18,50;47,20;17,10;44,70;7,42;743,50;79,33;7,00;38,00;4,08;32,01;32,01
Quarta;60;0;20,17;46,99;19,20;43,76;19,89;44,79;19,89;44,16;17,89;50,56;7,50;81,00;18,00;39,59;18,50;47,13;17,17;44,63;7,50;743,50;79,00;7,00;40,00;4,10;49,59;49,59
Quarta;290;0;20,10;46,43;19,10;43,82;19,89;44,79;19,86;44,16;17,86;50,73;7,40;80,36;17,89;39,59;18,50;47,23;17,17;44,56;7,42;743,50;79,33;7,17;40,00;4,07;24,78;24,78
